time[epoch],yaw[counts],pitch[counts],x[m],y[m],dx[m/s],dy[m/s],ddx[g],ddy[g],ddz[g]
1629205831.989047,0,0,0.0,0.0,0.0,0.0,0.45707300305366516,0.11998699605464935,-0.8962729573249817
1629205831.9891992,0,0,0.0,0.0,0.0,0.0,0.4564629793167114,0.1214509978890419,-0.8893190026283264
1629205831.989486,0,0,0.0,0.0,0.0,0.0,0.4543890058994293,0.12163399904966354,-0.8931620121002197
1629205831.990396,0,0,0.0,0.0,0.0,0.0,0.45451098680496216,0.1223049983382225,-0.8876720070838928
1629205831.991075,0,0,0.0,0.0,0.0,0.0,0.45451098680496216,0.1223049983382225,-0.8876720070838928
1629205831.992408,0,0,0.0,0.0,0.0,0.0,0.4534129798412323,0.12285399436950684,-0.89096599817276
1629205831.993064,0,0,0.0,0.0,0.0,0.0,0.4534129798412323,0.12285399436950684,-0.89096599817276
1629205831.99438,0,0,0.0,0.0,0.0,0.0,0.45402300357818604,0.12248799949884415,-0.8910269737243652
1629205831.995075,0,0,0.0,0.0,0.0,0.0,0.45402300357818604,0.12248799949884415,-0.8910269737243652
1629205831.9963672,0,0,0.0,0.0,0.0,0.0,0.45402300357818604,0.12285399436950684,-0.8895629644393921
1629205831.9973462,0,0,0.0,0.0,0.0,0.0,0.45365700125694275,0.12285399436950684,-0.905178964138031
1629205831.998401,0,0,0.0,0.0,0.0,0.0,0.4568899869918823,0.12120699882507324,-0.8940159678459167
1629205831.999385,0,0,0.0,0.0,0.0,0.0,0.45615798234939575,0.12138999998569489,-0.8929789662361145
1629205832.000395,0,0,0.0,0.0,0.0,0.0,0.4543280005455017,0.1214509978890419,-0.8913930058479309
1629205832.00136,0,0,0.0,0.0,0.0,0.0,0.4509730041027069,0.12218299508094788,-0.8920029997825623
1629205832.002511,0,0,0.0,0.0,0.0,0.0,0.45658499002456665,0.12114600092172623,-0.8913319706916809
1629205832.003615,0,0,0.0,0.0,0.0,0.0,0.4535349905490875,0.12004800140857697,-0.895052969455719
1629205832.0043352,0,0,0.0,0.0,0.0,0.0,0.4546329975128174,0.12212199717760086,-0.8906610012054443
1629205832.005332,0,0,0.0,0.0,0.0,0.0,0.4573169946670532,0.12340299785137177,-0.8931009769439697
1629205832.006335,0,0,0.0,0.0,0.0,0.0,0.45414498448371887,0.12132899463176727,-0.894137978553772
1629205832.007382,0,0,0.0,0.0,0.0,0.0,0.4535349905490875,0.1223049983382225,-0.8923689723014832
1629205832.008354,0,0,0.0,0.0,0.0,0.0,0.4539009928703308,0.12132899463176727,-0.8922469615936279
1629205832.009386,0,0,0.0,0.0,0.0,0.0,0.45237597823143005,0.12120699882507324,-0.8954190015792847
1629205832.01035,0,0,0.0,0.0,0.0,0.0,0.4507899880409241,0.12175599485635757,-0.8932839632034302
1629205832.0113652,0,0,0.0,0.0,0.0,0.0,0.4535349905490875,0.12334199994802475,-0.8916980028152466
1629205832.012046,0,0,0.0,0.0,0.0,0.0,0.4535349905490875,0.12334199994802475,-0.8916980028152466
1629205832.013408,0,0,0.0,0.0,0.0,0.0,0.4539619982242584,0.12151199579238892,-0.8933449983596802
1629205832.014215,0,0,0.0,0.0,0.0,0.0,0.4539619982242584,0.12151199579238892,-0.8933449983596802
1629205832.015427,0,0,0.0,0.0,0.0,0.0,0.45231500267982483,0.12077999860048294,-0.8905389904975891
1629205832.016147,0,0,0.0,0.0,0.0,0.0,0.45231500267982483,0.12077999860048294,-0.8905389904975891
1629205832.0174458,0,0,0.0,0.0,0.0,0.0,0.4547549784183502,0.12285399436950684,-0.8903560042381287
1629205832.01822,0,0,0.0,0.0,0.0,0.0,0.4547549784183502,0.12285399436950684,-0.8903560042381287
1629205832.019409,0,0,0.0,0.0,0.0,0.0,0.4567679762840271,0.12236599624156952,-0.8888309597969055
1629205832.020426,0,0,0.0,0.0,0.0,0.0,0.45566999912261963,0.1227319985628128,-0.8882209658622742
1629205832.021377,0,0,0.0,0.0,0.0,0.0,0.4571339786052704,0.1223049983382225,-0.8952969908714294
1629205832.022411,0,0,0.0,0.0,0.0,0.0,0.4525589942932129,0.1227319985628128,-0.8873670101165771
