time[epoch],yaw[counts],pitch[counts],x[m],y[m],dx[m/s],dy[m/s],ddx[g],ddy[g],ddz[g]
1629210321.043468,-31,-6,-0.030404716730117798,-0.0050239041447639465,2.9025008529970364e-07,-8.532005267625209e-06,0.9558089971542358,0.0073809996247291565,-0.040991999208927155
1629210321.043649,-31,-6,-0.030404716730117798,-0.00502432556822896,2.9025008529970364e-07,-8.532005267625209e-06,0.957273006439209,0.007868999615311623,-0.04050400108098984
1629210321.04397,-31,-6,-0.030404716730117798,-0.0050247469916939735,2.9025008529970364e-07,-8.532005267625209e-06,0.9583100080490112,0.007441999856382608,-0.042211998254060745
1629210321.045442,-31,-6,-0.030404716730117798,-0.005025089718401432,2.9025008529970364e-07,-8.532005267625209e-06,0.9585539698600769,0.007319999858736992,-0.040442999452352524
1629210321.046318,-31,-6,-0.030404716730117798,-0.0050251055508852005,2.9025008529970364e-07,-8.532005267625209e-06,0.9547719955444336,0.006953999865800142,-0.039772000163793564
1629210321.047323,-31,-6,-0.030404716730117798,-0.005025121383368969,2.9025008529970364e-07,-8.532005267625209e-06,0.9580659866333008,0.00597799988463521,-0.0424560010433197
1629210321.0482838,-31,-6,-0.030404716730117798,-0.00502513675019145,2.9025008529970364e-07,-8.532005267625209e-06,0.958187997341156,0.009150000289082527,-0.04105300083756447
1629210321.049279,-31,-6,-0.030404716730117798,-0.005025152582675219,2.9025008529970364e-07,-8.532005267625209e-06,0.9570899605751038,0.006587999872863293,-0.03714900091290474
1629210321.050262,-31,-6,-0.030404716730117798,-0.0050251679494977,2.9025008529970364e-07,-8.532005267625209e-06,0.9592859745025635,0.007015000097453594,-0.04440800100564957
1629210321.051021,-31,-6,-0.030404716730117798,-0.005025183781981468,2.9025008529970364e-07,-8.532005267625209e-06,0.9592859745025635,0.007015000097453594,-0.04440800100564957
1629210321.052276,-31,-6,-0.030404716730117798,-0.005025199614465237,2.9025008529970364e-07,-8.532005267625209e-06,0.9565410017967224,0.008295999839901924,-0.04068699851632118
1629210321.053139,-31,-6,-0.030404716730117798,-0.0050252145156264305,2.9025008529970364e-07,-8.532005267625209e-06,0.9565410017967224,0.008295999839901924,-0.04068699851632118
1629210321.054305,-31,-6,-0.030404716730117798,-0.005025230813771486,2.9025008529970364e-07,-8.532005267625209e-06,0.9592249989509583,0.006709999870508909,-0.03873499855399132
